id,Filme,Year,Site
1,Lego,2014,http://www.imdb.com/title/tt1490017/
2,Batman,1989,https://www.imdb.com/title/tt0096895/
3,Parasite,2019,https://www.imdb.com/title/tt6751668/
4,Memento,2000,https://www.imdb.com/title/tt0209144/
5,Joker,2019,https://www.imdb.com/title/tt7286456/
6,Gone with the Wind,1939,https://www.imdb.com/title/tt0031381/
7,Central Station,1998,https://www.imdb.com/title/tt0140888/
8,Amélie,2001,https://www.imdb.com/title/tt0211915/
9,Il Postino,1994,https://www.imdb.com/title/tt0110877
10,Cuckoo's Nest,1975,https://www.imdb.com/title/tt0073486/